Area,Element,Item,Year,Unit,Value
India,Food supply (kcal/capita/day),Millet and products,2010,kcal/cap/d,87.33
India,Food supply (kcal/capita/day),Millet and products,2011,kcal/cap/d,82
India,Food supply (kcal/capita/day),Millet and products,2012,kcal/cap/d,71.78
India,Food supply (kcal/capita/day),Millet and products,2013,kcal/cap/d,69.26
India,Food supply (kcal/capita/day),Millet and products,2014,kcal/cap/d,69.98
India,Food supply (kcal/capita/day),Millet and products,2015,kcal/cap/d,79.32
India,Food supply (kcal/capita/day),Millet and products,2016,kcal/cap/d,70.68
India,Food supply (kcal/capita/day),Millet and products,2017,kcal/cap/d,66.94
India,Food supply (kcal/capita/day),Millet and products,2018,kcal/cap/d,65.51
India,Food supply (kcal/capita/day),Millet and products,2019,kcal/cap/d,61.43
India,Food supply (kcal/capita/day),Millet and products,2020,kcal/cap/d,64.82
India,Food supply (kcal/capita/day),Millet and products,2021,kcal/cap/d,69.01
